"country_code","region_name","city_name","bay_area"
"US","California","Acampo","Outer Bay"
"US","California","Alameda","East Bay"
"US","California","Alamo","East Bay"
"US","California","Albany","East Bay"
"US","California","Alhambra","East Bay"
"US","California","Allendale","North Bay"
"US","California","Alum Rock","South Bay"
"US","California","Alviso","South Bay"
"US","California","American Canyon","North Bay"
"US","California","Amesti","Outer Bay"
"US","California","Angwin","North Bay"
"US","California","Annapolis","North Bay"
"US","California","Antioch","East Bay"
"US","California","Aptos","Outer Bay"
"US","California","Aptos Hills-Larkin Valley","Outer Bay"
"US","California","Aromas","Outer Bay"
"US","California","Atherton","Peninsula"
"US","California","August","Outer Bay"
"US","California","Bay Point","East Bay"
"US","California","Bayview","East Bay"
"US","California","Belmont","Peninsula"
"US","California","Belvedere","North Bay"
"US","California","Ben Lomond","Outer Bay"
"US","California","Benicia","North Bay"
"US","California","Berkeley","East Bay"
"US","California","Bethel Island","East Bay"
"US","California","Birds Landing","North Bay"
"US","California","Black Point-Green Point","North Bay"
"US","California","Blackhawk","East Bay"
"US","California","Bodega","North Bay"
"US","California","Bodega Bay","North Bay"
"US","California","Bolinas","North Bay"
"US","California","Bonny Doon","Outer Bay"
"US","California","Boulder Creek","Outer Bay"
"US","California","Boyes Hot Springs","North Bay"
"US","California","Brentwood","East Bay"
"US","California","Brisbane","Peninsula"
"US","California","Broadmoor","Peninsula"
"US","California","Brookdale","Outer Bay"
"US","California","Buena Vista","North Bay"
"US","California","Burbank","South Bay"
"US","California","Burlingame","Peninsula"
"US","California","Byron","East Bay"
"US","California","Calistoga","North Bay"
"US","California","Cambrian Park","South Bay"
"US","California","Camp Meeker","North Bay"
"US","California","Canyon","East Bay"
"US","California","Castro Valley","East Bay"
"US","California","Cazadero","North Bay"
"US","California","Cherryland","East Bay"
"US","California","Clayton","East Bay"
"US","California","Cloverdale","North Bay"
"US","California","Collierville","Outer Bay"
"US","California","Colma","Peninsula"
"US","California","Concord","East Bay"
"US","California","Corralitos","Outer Bay"
"US","California","Corte Madera","North Bay"
"US","California","Cotati","North Bay"
"US","California","Country Club","Outer Bay"
